stt,course_id,name_vi,name_en,is_open,managed_by,course_type,old_code,equivalent_ids,prerequisite_ids,prior_ids,credits_lt,credits_th
659,JAN06,Tiếng Nhật 6,Japanese 6,,PĐTĐH,NN,,,JAN05,,1,2
660,JAN07,Tiếng Nhật 7,Japanese 7,,PĐTĐH,NN,,,JAN06,,1,2
661,JAN08,Tiếng Nhật 8,Japanese 8,,PĐTĐH,NN,,,JAN07,,1,2
662,JANHU,Tiếng Nhật miễn phí do Huredee tài trợ,Japanese language (sponsored by Huredee),,P.ĐTĐH,ĐC,,,,,40,0
663,LIA01,Đại số tuyến tính,Linear Algebra,,BMTL,ĐC,,MA003,,,3,0
664,LIA11,Đại số tuyến tính,Linear Algebra,,BMTL,ĐC,,,,,3,0
665,MA001,Giải tích 1,Calculus 1,,BMTL,ĐC,,MA006,,,3,0
666,MA002,Giải tích 2,Calculus 2,,BMTL,ĐC,,MA006,,MA001,3,0
667,MA003,Đại số tuyến tính,Linear Algebra,,BMTL,ĐC,,,,,3,0
668,MA004,Cấu trúc rời rạc,Discrete Structures,,BMTL,ĐC,,,,,4,0
669,MA005,Xác suất thống kê,Probability and Statistics,,BMTL,ĐC,,,,MA006,3,0
670,MA006,Giải tích,Calculus,,BMTL,ĐC,,,,,4,0
671,MAT01,Toán cao cấp A1,Advanced mathematics A1,,BMTL,ĐC,,MA001,,,3,0
672,MAT02,Toán cao cấp A2,Advanced mathematics A2,,BMTL,ĐC,,MA002,,,4,0
673,MAT04,Cấu trúc rời rạc,Discrete Structures,,BMTL,ĐC,,MA004,,,4,0
674,MAT11,Giải tích 1,Calculus 1,,BMTL,ĐC,,,,,4,0
675,MAT12,Giải tích 2,Calculus 2,,BMTL,ĐC,,,,,3,0
676,MAT14,Toán rời rạc cho máy tính,Discrete mathematics for computer,,BMTL,ĐC,,,,,3,0
677,MAT21,Toán cao cấp A1 (TE),Advanced Mathematics A1,,BMTL,ĐC,,MA001MAT01,,,4,0
678,MAT22,Toán cao cấp A2 (TE),Advanced Mathematics A2,,BMTL,ĐC,,MA002MAT02,,,4,0
679,MAT23,Đại số tuyến tính,Linear Algebra,,BMTL,ĐC,,LIA01,,,4,0
680,MAT24,Cấu trúc rời rạc (TE),Discrete structures,,BMTL,ĐC,,,,,4,0
681,MATH2144,Giải tích 1,Calculus 1,,HTTT,ĐC,,MATH2154,,,4,0
682,MATH2153,Giải tích 2,Calculus 2,,HTTT,ĐC,MAT12,MATH2154,,MATH2144,3,0
683,MATH2154,Giải tích,Calculus,,HTTT,ĐC,,,,,4,0
684,MATH3013,Đại số tuyến tính,Linear Algebra,,HTTT,ĐC,,,,,3,0
685,ME001,Giáo dục quốc phòng,Military Education,,P.ĐTĐH,ĐC,MEDU1,,,,0,0
686,MEDU1,Giáo dục quốc phòng,Military Education,,GDQP,QP,,ME001,,,0,0
687,MKTG4223,Quản trị chuỗi cung ứng,Supply Chain Management,,HTTT,CN,,,,,3,0
688,MKTG5883,Khai phá dữ liệu và ứng dụng,Data Mining and Applications,,HTTT,CN,,,,CS5423,3,1
689,MLPE1,Kinh tế chính trị Mác-Lênin (TE),Marxism–Leninism political economy,,P.ĐTĐH,ĐC,,MLPE2,,,5,0
690,MLPE2,Kinh tế chính trị Mác-Lênin (TE1),Marxism–Leninism political economy,,P.ĐTĐH,ĐC,,,,,4,0
691,MM001,Kỹ năng truyền thông cho người làm công nghệ thông tin,Communication Skills for Information Technology Professionals,,PĐTĐH,CN,,,,,2,1
692,MM002,Truyền thông kỹ thuật số,Digital Communication,,PĐTĐH,CN,,,,,2,1
693,MM003,Quản trị sự kiện,Event Management,,CNPM,CN,,,,,3,1
694,MM004,Nguyên lý thiết kế đồ hoạ,Principles of Graphic Design,,CNPM,CN,,,,,0,2
695,MM005,Nhập môn marketing,Introduction to Marketing,,CNPM,ĐC,,,,,2,0
696,MM006,Tâm lý học đại cương,Introduction to Psychology,,CNPM,ĐC,,,,,2,0
697,MM007,Tư duy sáng tạo và xu hướng thiết kế truyền thông,Creative Thinking and Media Design Trends,,CNPM,ĐC,,,,,2,0
698,MM008,Kỹ năng truyền thông ứng dụng,Applied Communication Skills,,CNPM,ĐC,,,,,2,0
699,MM101,Giới thiệu ngành Truyền thông đa phương tiện,Introduction to Multimedia,,CNPM,CSN,,,,,1,0
700,MM102,Lý luận truyền thông đại chúng,Foundations of Mass Communication,,CNPM,CSN,,,,,3,0
701,MM103,Cơ sở tạo hình và nguyên lý thị giác,Basics of Form Creation and Visual Principles,,CNPM,CSN,,,,,2,0
702,MM104,Viết nội dung đa phương tiện,Strategic Multimedia Writing,,CNPM,CSN,,,,,3,0
703,MM105,Nhập môn kỹ thuật sản xuất nội dung đa phương tiện,Introduction to Multimedia Production,,CNPM,CSN,,,,,2,1
704,MM106,Thu thập và phân tích khám phá dữ liệu truyền thông đa phương tiện,Data Collection and Exploratory Analysis for Multimedia,,CNPM,CSN,,,,IT001,2,1
705,MM107,Học máy ứng dụng trong truyền thông đa phương tiện,Applied Machine Learning for Multimedia,,CNPM,CSN,,,,IT001,2,1
706,MM108,Tiếp thị số,Digital Marketing,,CNPM,CSN,,,,,2,1
707,MM109,Thiết kế đồ họa,Graphic Design Principles,,CNPM,CSN,,,,,3,1
708,MM110,Màu sắc và tâm lý thị giác trong thiết kế truyền thông,Color and Visual Perception Psychology in Media Design,,CNPM,CSN,,,,,2,0
709,MM201,Truyền thông và dư luận xã hội,Media and Public Discourse,,CNPM,CN,,,,IT001,3,1
710,MM202,Học sâu ứng dụng trong truyền thông đa phương tiện,Applied Deep Learning for Multimedia,,CNPM,CN,,,,,3,1
711,MM203,Xử lý ngôn ngữ tự nhiên cho truyền thông đa phương tiện,Natural Language Processing for Multimedia,,CNPM,CN,,,,,3,1
712,MM204,Xử lý ảnh số và video trong truyền thông đa phương tiện,Digital Image and Video Processing for Multimedia,,CNPM,CN,,,,,3,1
713,MM205,Phân tích và hiểu nội dung đa phương thức,Multimodal Data Analysis and Understanding,,CNPM,CĐTN,,,,,3,1
714,MM206,Dữ liệu lớn ứng dụng trong truyền thông đa phương tiện,Big Data Applied in Multimedia,,CNPM,CN,,,,IT007,3,1
715,MM207,Hệ thống khai phá dữ liệu mạng xã hội,Developing Social Network Data Mining Systems,,CNPM,CĐTN,,,,,3,1
716,MM208,Thiết kế và sản xuất ấn phẩm,Publication Design and Production,,CNPM,CN,,,,,3,1
717,MM209,Nghiệp vụ truyền thông và báo chí,Press Communication Profession,,CNPM,CN,,,,MM104,3,1
718,MM210,Kỹ thuật quay phim biên kịch và hậu kỳ,"Video Recording, Screen Writing and Post Processing Techniques",,CNPM,CĐTN,,,,,3,1
719,MM211,Thực tế ảo và thực tế tăng cường,Virtual and Augmented Reality,,CNPM,CN,,,,,3,1
720,MM212,Hoạt hình,Animation,,CNPM,CN,,,,,2,1
721,MM213,Quản lý dự án truyền thông đa phương tiện,Multimedia Project Management,,CNPM,CĐTN,,,,,3,1
722,MM214,Chiến lược phát triển thương hiệu,Brand Development Strategy,,CNPM,CN,,,,,3,0
723,MM215,Quan hệ công chúng trong marketing,Public Relations for Marketing,,CNPM,CN,,,,,3,0
724,MM216,Tối ưu hóa và tiếp thị trên công cụ tìm kiếm,Search Engine Optimization and Marketing,,CNPM,CN,,,,,3,1
725,MM217,Tiếp thị cho sản phẩm dịch vụ,Marketing for Service Products,,CNPM,CN,,,,,3,0
726,MM218,Xây dựng kênh tiếp thị trực tuyến,Building Online Marketing Channels,,CNPM,CN,,,,,3,0
727,MM219,Quản trị mối quan hệ khách hàng định hướng dữ liệu,Data Driven Customer Relationship Management,,CNPM,CĐTN,,,,,3,1
728,MM220,Phân tích dữ liệu truyền thông số,Digital Media Data Analytics,,CNPM,CĐTN,,,,,3,1
729,MM221,Chuyên đề các vấn đề hiện đại trong truyền thông đa phương tiện,Seminar on Modern Topics in Multimedia,,CNPM,CN,,,,,3,0
730,MM222,An ninh thông tin trong truyền thông đa phương tiện,Information Security in Multimedia,,CNPM,CN,,,,IT007,3,1
731,MM223,Kể chuyện tương tác,Interactive Storytelling,,CNPM,CN,,,,,3,1
732,MM224,Hình họa cơ bản,Basic Drawing and Visual Observation,,CNPM,CN,,,,,3,1
733,MM301,Đồ án truyền thông đa phương tiện,Multimedia Projects,,CNPM,CN,,,,,0,2
734,MM302,Thực tập,Internship,,CNPM,CN,,,,,0,2
735,MM304,Khởi nghiệp ngành Truyền thông đa phương tiện,Startup in Multimedia,,CNPM,CN,,,,,2,0
736,MM504,Đồ án tốt nghiệp,Capstone Project,,CNPM,DATN,,,,,0,6
737,MM505,Khóa luận tốt nghiệp,Thesis,,CNPM,KLTN,,,,,0,10
738,MM506,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,,CNPM,DATNDN,,,,,0,10
739,MSIS207,Phát triển ứng dụng web,Web Application Development,,HTTT,CN,,,,CS5423CS2134,3,1
740,MSIS2433,Lập trình hướng đối tượng,Object-Oriented Programming,,HTTT,CSN,,,,CS2134,3,0
741,MSIS3033,Quản lý dự án hệ thống thông tin,Information Systems Project Management,,HTTT,CSN,,,,,3,0
742,MSIS3233,Khoa học quản lý,Management Science,,HTTT,CN,,,,MATH2154,3,0
743,MSIS3242,Quản lý chất lượng phần mềm,Software Quality Management,,HTTT,CN,,,,,3,0
744,MSIS3243,Lý thuyết quyết định quản lý,Managerial Decision Theory,,HTTT,CN,,,,MATH2153,3,0
745,MSIS3303,Phân tích thiết kế hệ thống,Systems Analysis and Design,,HTTT,CN,IS3303,,,CS5423,3,1
746,MSIS4013,"Thiết kế, quản lý và quản trị hệ cơ sở dữ liệu","Database Systems Design, Management and Administration",,HTTT,CN,,,,CS5423,3,0
747,MSIS402,Điện toán đám mây,Cloud Computing,,HTTT,CN,,,,,3,0
748,MSIS405,Dữ liệu lớn,Big Data,,HTTT,CN,,,,,3,0
749,MSIS406,Dữ liệu lớn trên nền điện toán đám mây,Big Data in Cloud Computing,,HTTT,CN,,,,,3,1
750,MSIS4133,Công nghệ thông tin trong thương mại điện tử,Information Technologies for E-Commerce,,HTTT,CN,,,,,3,0
751,MSIS4243,Điều khiển và giám sát hệ thống thông tin,Control and Audit of Information Systems,,HTTT,CN,,,,,3,0
752,MSIS4263,Các ứng dụng thông minh và hỗ trợ ra quyết định,Decision Support and Intelligent Applications,,HTTT,CN,IS4263,,,,3,0
753,MSIS4363,Các chủ đề nâng cao trong phát triển hệ thống,Advanced topics in systems development,,HTTT,CNTC,,,,,3,0
754,MSIS4443,Các hệ thống mô phỏng trên máy tính,Computer-based Simulation Systems,,HTTT,CN,,,,,3,0
755,MSIS4523,Hệ truyền thông dữ liệu,Data Communication Systems,,HTTT,CN,IS4523,ACCT5123,,,3,0
756,MSIS4800,Hệ thống thông tin tính toán,Accounting information system,,HTTT,CNTC,,,,,3,0
757,MSIS4801,Quản lý thông tin địa lý,Geospatial information management,,HTTT,CNTC,IS4801,,,,3,1
